experiment_id,task_type,categorical_scheme,feature_method,n_components,model_name,backend,seed,experiment_dir,resume_match_type,loaded_summary
EXP001_binary_PCAk10_glmnet_ridge_seed2026,binary,three_stage,PCA,10,glmnet_ridge,glmnet,2026,Output\binary\experiments\EXP001_binary_PCAk10_glmnet_ridge_seed2026,exact,True
EXP002_binary_PCAk10_glmnet_elasticnet_seed2026,binary,three_stage,PCA,10,glmnet_elasticnet,glmnet,2026,Output\binary\experiments\EXP002_binary_PCAk10_glmnet_elasticnet_seed2026,exact,True
EXP003_binary_PCAk10_glmnet_lasso_seed2026,binary,three_stage,PCA,10,glmnet_lasso,glmnet,2026,Output\binary\experiments\EXP003_binary_PCAk10_glmnet_lasso_seed2026,exact,True
EXP004_binary_PCAk10_xgboost_seed2026,binary,three_stage,PCA,10,xgboost,xgboost,2026,Output\binary\experiments\EXP004_binary_PCAk10_xgboost_seed2026,exact,True
EXP005_binary_PCAk20_glmnet_ridge_seed2026,binary,three_stage,PCA,20,glmnet_ridge,glmnet,2026,Output\binary\experiments\EXP005_binary_PCAk20_glmnet_ridge_seed2026,exact,True
EXP006_binary_PCAk20_glmnet_elasticnet_seed2026,binary,three_stage,PCA,20,glmnet_elasticnet,glmnet,2026,Output\binary\experiments\EXP006_binary_PCAk20_glmnet_elasticnet_seed2026,exact,True
EXP007_binary_PCAk20_glmnet_lasso_seed2026,binary,three_stage,PCA,20,glmnet_lasso,glmnet,2026,Output\binary\experiments\EXP007_binary_PCAk20_glmnet_lasso_seed2026,exact,True
EXP008_binary_PCAk20_xgboost_seed2026,binary,three_stage,PCA,20,xgboost,xgboost,2026,Output\binary\experiments\EXP008_binary_PCAk20_xgboost_seed2026,exact,True
EXP009_binary_PCAk50_glmnet_ridge_seed2026,binary,three_stage,PCA,50,glmnet_ridge,glmnet,2026,Output\binary\experiments\EXP009_binary_PCAk50_glmnet_ridge_seed2026,exact,True
EXP010_binary_PCAk50_glmnet_elasticnet_seed2026,binary,three_stage,PCA,50,glmnet_elasticnet,glmnet,2026,Output\binary\experiments\EXP010_binary_PCAk50_glmnet_elasticnet_seed2026,exact,True
EXP011_binary_PCAk50_glmnet_lasso_seed2026,binary,three_stage,PCA,50,glmnet_lasso,glmnet,2026,Output\binary\experiments\EXP011_binary_PCAk50_glmnet_lasso_seed2026,exact,True
EXP012_binary_PCAk50_xgboost_seed2026,binary,three_stage,PCA,50,xgboost,xgboost,2026,Output\binary\experiments\EXP012_binary_PCAk50_xgboost_seed2026,exact,True
EXP013_binary_ICAk10_glmnet_ridge_seed2026,binary,three_stage,ICA,10,glmnet_ridge,glmnet,2026,Output\binary\experiments\EXP013_binary_ICAk10_glmnet_ridge_seed2026,exact,True
EXP014_binary_ICAk10_glmnet_elasticnet_seed2026,binary,three_stage,ICA,10,glmnet_elasticnet,glmnet,2026,Output\binary\experiments\EXP014_binary_ICAk10_glmnet_elasticnet_seed2026,exact,True
EXP015_binary_ICAk10_glmnet_lasso_seed2026,binary,three_stage,ICA,10,glmnet_lasso,glmnet,2026,Output\binary\experiments\EXP015_binary_ICAk10_glmnet_lasso_seed2026,exact,True
EXP016_binary_ICAk10_xgboost_seed2026,binary,three_stage,ICA,10,xgboost,xgboost,2026,Output\binary\experiments\EXP016_binary_ICAk10_xgboost_seed2026,exact,True
EXP017_binary_ICAk20_glmnet_ridge_seed2026,binary,three_stage,ICA,20,glmnet_ridge,glmnet,2026,Output\binary\experiments\EXP017_binary_ICAk20_glmnet_ridge_seed2026,exact,True
EXP018_binary_ICAk20_glmnet_elasticnet_seed2026,binary,three_stage,ICA,20,glmnet_elasticnet,glmnet,2026,Output\binary\experiments\EXP018_binary_ICAk20_glmnet_elasticnet_seed2026,exact,True
EXP019_binary_ICAk20_glmnet_lasso_seed2026,binary,three_stage,ICA,20,glmnet_lasso,glmnet,2026,Output\binary\experiments\EXP019_binary_ICAk20_glmnet_lasso_seed2026,exact,True
EXP020_binary_ICAk20_xgboost_seed2026,binary,three_stage,ICA,20,xgboost,xgboost,2026,Output\binary\experiments\EXP020_binary_ICAk20_xgboost_seed2026,exact,True
EXP021_binary_ICAk50_glmnet_ridge_seed2026,binary,three_stage,ICA,50,glmnet_ridge,glmnet,2026,Output\binary\experiments\EXP021_binary_ICAk50_glmnet_ridge_seed2026,exact,True
EXP022_binary_ICAk50_glmnet_elasticnet_seed2026,binary,three_stage,ICA,50,glmnet_elasticnet,glmnet,2026,Output\binary\experiments\EXP022_binary_ICAk50_glmnet_elasticnet_seed2026,exact,True
EXP023_binary_ICAk50_glmnet_lasso_seed2026,binary,three_stage,ICA,50,glmnet_lasso,glmnet,2026,Output\binary\experiments\EXP023_binary_ICAk50_glmnet_lasso_seed2026,exact,True
EXP024_binary_ICAk50_xgboost_seed2026,binary,three_stage,ICA,50,xgboost,xgboost,2026,Output\binary\experiments\EXP024_binary_ICAk50_xgboost_seed2026,exact,True
EXP025_binary_NMFk10_glmnet_ridge_seed2026,binary,three_stage,NMF,10,glmnet_ridge,glmnet,2026,Output\binary\experiments\EXP025_binary_NMFk10_glmnet_ridge_seed2026,exact,True
EXP026_binary_NMFk10_glmnet_elasticnet_seed2026,binary,three_stage,NMF,10,glmnet_elasticnet,glmnet,2026,Output\binary\experiments\EXP026_binary_NMFk10_glmnet_elasticnet_seed2026,exact,True
EXP027_binary_NMFk10_glmnet_lasso_seed2026,binary,three_stage,NMF,10,glmnet_lasso,glmnet,2026,Output\binary\experiments\EXP027_binary_NMFk10_glmnet_lasso_seed2026,exact,True
EXP028_binary_NMFk10_xgboost_seed2026,binary,three_stage,NMF,10,xgboost,xgboost,2026,Output\binary\experiments\EXP028_binary_NMFk10_xgboost_seed2026,exact,True
EXP029_binary_NMFk20_glmnet_ridge_seed2026,binary,three_stage,NMF,20,glmnet_ridge,glmnet,2026,Output\binary\experiments\EXP029_binary_NMFk20_glmnet_ridge_seed2026,exact,True
